Шкаф	Обозначение провода	Откуда идет	Куда поступает
1HV32	A19-TQ14S04	XT24-b4	XT24-b5
1HV32	A19-TQ14S07	XT45-b4	XT45-b5
1HV32	A19-TQ14S17	XT44-b4	XT44-b5
1HV32	A19-TQ23S31	XT39-b4	XT39-b5
1HV32	A19-TQ30S09	XT42-b4	XT42-b5
1HV32	A19-TQ33S32	XT40-b4	XT40-b5
1HV32	A19-TQ40S05	XT25-b4	XT25-b5
1HV32	A19-TQ41S01	XT27-b4	XT27-b5
1HV32	A19-TQ41S02	XT28-b4	XT28-b5
1HV32	A19-TQ41S05	XT30-b4	XT30-b5
1HV32	A19-TQ51S01	XT35-b4	XT35-b5
1HV32	A19-TQ51S02	XT41-b4	XT41-b5
1HV32	A19-TQ51S03	XT46-b4	XT46-b5
1HV32	A19-TQ51S04	XT43-b4	XT43-b5
1HV32	A19-TX10S50	XT20-b4	XT20-b5
1HV32	A19-VF10S03	XT4-b4	XT4-b5
1HV32	A19-VF40S06	XT5-b4	XT5-b5
1HV32	N1-BAQ1	XT61-a2	XT61-a5
1HV32	N1-BVQ1	XT62-a2	XT62-a5
1HV32	N1-GVQ1	XT53-a2	XT53-a5
1HV32	N1-GVQ1	XT53-a2	XT53-a8
1HV32	N1-QF11D01	XT51-a2	XT51-a5
1HV32	N1-QF11D02	XT52-a2	XT52-a5
1HV32	N1-QF11S04	XT64-a11	XT64-a2
1HV32	N1-QF11S04	XT64-a2	XT64-a5
1HV32	N1-QF11S04	XT64-a5	XT64-a8
1HV32	N1-QF11S05	XT63-a11	XT63-a2
1HV32	N1-QF11S05	XT63-a2	XT63-a5
1HV32	N1-QF11S05	XT63-a5	XT63-a8
1HV32	N1-QF11S06	XT69-a11	XT69-a2
1HV32	N1-QF11S06	XT69-a2	XT69-a5
1HV32	N1-QF11S06	XT69-a5	XT69-a8
1HV32	N1-QF11S07	XT70-a11	XT70-a2
1HV32	N1-QF11S07	XT70-a2	XT70-a5
1HV32	N1-QF11S07	XT70-a5	XT70-a8
1HV32	N1-QF11S08	XT65-a11	XT65-a2
1HV32	N1-QF11S08	XT65-a2	XT65-a5
1HV32	N1-QF11S08	XT65-a5	XT65-a8
1HV32	N1-QF11S09	XT66-a11	XT66-a2
1HV32	N1-QF11S09	XT66-a2	XT66-a5
1HV32	N1-QF11S09	XT66-a5	XT66-a8
1HV32	N1-TQ10S01	XT6-a11	XT6-a2
